explorer,model,seed,mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,minKSess,acceptance_prob,step_size,n_rounds,energy_jump_dist
NUTS,kilpisjarvi,7,-0.39740025959214914,3.051220418247757,31.208373875,0.0,131068,1453612,53.737257860478564,2.839599590802127,0.8647065487026337,0.015005382694006801,15,0.4994703837951606
DRHMC,kilpisjarvi,7,-13095.89748161049,7.385108245313506e8,163.255800959,0.0,262132,1310665,8.547607259448445e-5,1.1778068826997161,0.00732421875,0.1,15,17.8438935032638
AutoStep MALA,kilpisjarvi,8,0.40933367963453293,1.094255380919998e-10,26.248353209,0.0,375082,750164,48.87716721709247,3.018775317840992,0.1080322265625,3.5762786865234375e-7,15,0.0064135194160532955
adaptive MALA,kilpisjarvi,8,0.0,0.0,2.782377543,0.0,131068,65534,49.54272795075023,3.018775317840992,3.0517578125e-5,0.1,15,Inf
NUTS,kilpisjarvi,8,1.4937795091159638,2.9021840124937834,39.683827836000006,0.0,131068,1882202,43.98936209652664,2.9094442496351727,0.8638328701778193,0.015635455818652635,15,0.4755955489121779
DRHMC,kilpisjarvi,8,-543259.4224550609,8.942208570926887e11,163.19671612500002,0.0,262132,1310665,6.288548874652905e-8,0.7547859636068992,6.103515625e-5,0.1,15,3.59783150091102
AutoStep MALA,kilpisjarvi,9,0.9924949444934799,3.232662939138668e-11,24.732091955999998,0.0,356373,712746,47.91950411928916,3.018775317840992,0.158111572265625,2.3841863594498136e-7,15,0.01475039341421271
adaptive MALA,kilpisjarvi,9,0.0,0.0,2.7874985839999997,0.0,131068,65534,49.42139103983143,0.9391066556160482,3.0517578125e-5,0.1,15,NaN
NUTS,kilpisjarvi,9,0.17959004095406264,0.7879817473491404,38.860851709,0.0,131068,1842009,50.81405603208673,2.9735945261386276,0.8702804053295883,0.014920700570499797,15,0.4950779441686012
DRHMC,kilpisjarvi,9,-44711.385348815675,6.718177735541208e9,163.417563583,0.0,262132,1310665,8.667748090685378e-6,0.9358542302068489,0.0013427734375,0.1,15,11.55264664300394
AutoStep MALA,kilpisjarvi,10,-0.857287609735554,1.5887624272835984e-10,25.115570253999998,0.0,360143,720286,51.058688417122376,0.8266701875718121,0.14166259765625,3.5762795391747204e-7,15,0.011567091269551067
adaptive MALA,kilpisjarvi,10,0.0516725293404734,0.014357206795095154,2.743462958,0.0,131068,65534,NaN,0.8920396796878796,3.0517578125e-5,0.1,15,0.0
NUTS,kilpisjarvi,10,0.43585425877537404,0.3326387944989528,38.349620499,0.0,131068,1827840,49.33844328998247,2.403163950584413,0.891035867174512,0.014741638566406982,15,0.4842768758693972
DRHMC,kilpisjarvi,10,-52637.86632378489,9.159126675798645e9,154.746286711,0.0,262132,1310665,6.322820416396017e-6,3.018775317840992,0.00146484375,0.1,15,14.956482622462422
HitAndRunSlicer,kilpisjarvi,1,-54.91254429278195,642.7292591842977,2.097014459,0.0,5961199,3008369,86.60134159374849,0.9120213265937421,1.0,10.0,15,0.6292499280167493
AutoStep RWMH,kilpisjarvi,1,0.16671131095171698,0.052693256753646625,0.669084958,0.0,1191724,631542,49.28349244269479,2.2317870992046505,0.570792969654402,2.891443943127698e-5,15,0.16012169781977914
adaptive RWMH,kilpisjarvi,1,1.2188909365259157,1.6508093432074793,2.932046458,0.0,131068,0,45.469784881496345,1.2509122338375072,3.051850947599719e-5,0.0,15,0.00015176600468925046
HitAndRunSlicer,kilpisjarvi,2,-61.326129016238845,605.03758691899,1.865384335,0.0,5670404,2904452,85.85949079290138,1.17012137706802,1.0,10.0,15,0.6239387357709661
AutoStep RWMH,kilpisjarvi,2,0.09226212351827397,0.007271889333786041,0.6332576649999999,0.0,1199517,630174,49.4098980196025,0.7932862939525822,0.5713847065798078,3.0024535763290746e-5,15,0.16497841102794572
adaptive RWMH,kilpisjarvi,2,0.9888783572590687,0.7607336360268404,0.985528293,0.0,131068,0,NaN,1.0159673976010573,0.0,0.0,15,0.0
HitAndRunSlicer,kilpisjarvi,3,-57.17796892749907,702.7529655393188,1.961041957,0.0,5852397,2967582,86.61067834922888,1.1946901848270848,1.0,10.0,15,0.6294024626655921
AutoStep RWMH,kilpisjarvi,3,-0.09520138728800966,0.002931509791967624,0.652173003,0.0,1181815,624120,49.729031951791626,2.1165190367108755,0.5627259759181678,2.5799281793536857e-5,15,0.1599814772298642
adaptive RWMH,kilpisjarvi,3,2.161124627172271,3.717553724984036,0.809056751,0.0,131068,0,42.94962256111643,0.9463736879531739,0.00012207403790398877,0.0,15,0.0007365253000032906
